Home,Away,Date,Favorite,Spread,TeamWin,WinPoints,LosePoints,Homeptsposs,AwayPtsposs,HomeeFG,AwayeFG,HomeTOV,AwayTOV,HomeOREB,AwayOREB,HomeFTR,AwayFTR,HomeRest,AwayRest,Pick,OT
DEN,PHI,11/08/19,DEN,5,DEN,100,97,102.1,98,50,51.7,10.3,18.4,18,26.9,14.9,9.3,2,1,,
UTA,MIL,11/08/19,MIL,2,UTA,103,100,97.2,94.3,49.4,41.1,18.9,12.3,21.2,25,24.1,23.2,1,1,,
POR,BRK,11/08/19,POR,3.5,BRK,119,115,115,119,46.9,49.5,11,9,33.9,36.5,25,21.2,0,3+,,
LAL,MIA,11/08/19,LAL,8.5,LAL,95,80,100,85.1,49.4,38.8,18.9,13.8,31.2,20.8,7.9,22.5,2,0,,
SAS,BOS,11/09/19,SAS,2,BOS,135,115,107.5,128.6,46.5,58.5,14.2,8.6,36.5,18.4,23.2,26.6,1,1,,
CHA,NOP,11/09/19,NOP,1.5,NOP,115,110,101.9,106.5,47.7,62.7,20.6,24.1,32.1,25,29.5,28,1,0,,
MEM,DAL,11/09/19,DAL,5.5,DAL,138,122,115.1,129,58.9,62.9,15.1,14,25.5,32.6,10.6,16.5,0,0,,
CHI,HOU,11/09/19,HOU,6.5,HOU,117,94,86.2,108.3,39.8,58.4,13.8,22.2,21.3,22.4,16.3,24.1,2,2,,
OKC,GSW,11/09/19,OKC,12.5,OKC,114,108,114,106.9,63.3,53.5,19,14.9,18.4,14.6,17.7,20.2,1,0,,
MIN,DEN,11/10/19,DEN,3.5,DEN,100,98,92.5,93.5,38.1,44.1,12.3,18.7,29.7,33.3,24.7,11,1,1,,TRUE
ORL,IND,11/10/19,ORL,4.5,IND,109,102,110.9,118.5,54.5,57.1,12,9.8,23.4,29.5,5.6,4.3,1,1,,
PHI,CHA,11/10/19,PHI,14,PHI,114,106,114,107.1,60.7,53.6,21,13.1,30,16.7,14.3,19,1,0,,
OKC,MIL,11/10/19,MIL,9,MIL,121,119,109.3,113.1,58.8,63.3,13.9,20.6,10.4,16.2,13.2,19.3,0,1,,
NYK,CLE,11/10/19,NYK,2.5,CLE,108,87,87.9,109.2,41.3,48.8,21.2,14.3,35.1,22.9,19,34.1,1,1,,
PHX,BRK,11/10/19,PHX,3,PHX,138,112,128,105.7,62.1,52.7,6.5,16,19.1,19.1,15.3,17.8,2,1,,
POR,ATL,11/10/19,POR,9,POR,124,113,107.8,100,49,45.7,14.8,14.2,33.9,28.8,21.2,17.3,1,1,,TRUE
LAL,TOR,11/10/19,LAL,10.5,TOR,113,104,103,111.9,48.9,55.1,11.9,14.9,27.8,23.5,12.8,16.9,1,1,,
DET,MIN,11/11/19,DET,4,MIN,120,114,114,120,54,59,17,17,29.2,29.8,23.3,16.9,1,1,,
BOS,DAL,11/11/19,BOS,3,BOS,116,106,124.7,112.8,56.4,47.8,9.7,8.5,27.1,31.5,22.1,23.6,1,1,,
SAS,MEM,11/11/19,SAS,10.5,MEM,122,116,109,115.3,53.3,56.9,14,11.2,18.8,20,14.6,16.1,1,1,,
NOP,HOU,11/11/19,HOU,7.5,HOU,113,109,103.7,109.2,50.5,58.8,15.6,17.4,27.6,20,18.5,24.1,1,1,,
GSW,UTA,11/11/19,UTA,8,UTA,122,108,106.9,117.8,53.2,59.3,9.9,11.9,18.4,15.9,8.7,33.3,1,2,,
LAC,TOR,11/11/19,LAC,9.5,LAC,98,88,93.2,86.3,41.3,46.5,21.4,14.7,41,13.2,24.2,10.7,3+,0,,
PHI,CLE,11/12/19,PHI,11,PHI,98,97,103.2,102.1,49.4,47.1,14.7,14.7,26,26.5,11.2,18.6,1,1,,
IND,OKC,11/12/19,IND,1.5,IND,111,85,111,85,52.7,39.5,15,16,31.2,19.2,12.8,26.3,1,1,,
MIA,DET,11/12/19,MIA,9,MIA,117,108,117,110.2,62.3,53.2,20,16.3,34.2,24,27.6,32.1,3+,0,,
CHI,NYK,11/12/19,CHI,6.5,CHI,120,102,115.5,98.1,59.3,46.6,19.4,17.5,30.2,26.8,29.6,23,2,1,,
DEN,ATL,11/12/19,DEN,10.5,ATL,125,121,121,126.3,49.5,62,3,15.2,29.8,36.6,17.3,26.5,1,1,,
PHX,LAL,11/12/19,LAL,3.5,LAL,123,115,115,123,56,58.9,11,10,18.8,26.5,14.4,11.7,1,1,,
UTA,BRK,11/12/19,UTA,6.5,UTA,119,114,114.4,109.6,50,51.7,10.6,16.3,30,29.4,29.7,23.3,0,1,,
SAC,POR,11/12/19,POR,1.5,SAC,107,99,109.2,101,50.6,49.4,14.3,17.3,27.5,17.8,23.5,29.9,3+,1,,
CHA,MEM,11/13/19,CHA,2.5,MEM,119,117,112.5,114.4,58,62.8,14.4,22.1,18.2,27.9,17.2,6.7,2,1,,
ORL,PHI,11/13/19,ORL,2.5,ORL,112,97,106.8,93.3,50,48.4,12.6,14.4,23.5,19.6,30.2,9.9,2,0,,
BOS,WAS,11/13/19,BOS,7,BOS,140,133,129.6,125.5,59.4,57.8,11.1,8.5,31.9,19.1,27.4,22.9,1,3+,,
HOU,LAC,11/13/19,HOU,2.5,HOU,102,93,99,92,46.5,43.9,10,13,19.3,25,25.6,7.1,1,1,,
MIN,SAS,11/13/19,MIN,1.5,MIN,129,114,123.1,107.6,55.5,50.6,9.6,11.4,30,22,30.8,25.6,1,1,,
LAL,GSW,11/13/19,LAL,8.5,LAL,120,94,120,93.9,59,45.5,19,17.2,42.9,27.3,16.9,14.6,0,1,,
